[18:28:22] 📍 Loaded 563 district venues
[18:28:22] 🚀 DISTRICT SCRAPER STARTED
[21:03:59] ⚠ 1018468 status 403
[21:03:59] ⚠ 25281 status 403
[21:03:59] ⚠ 7826 status 403
[21:03:59] ⚠ 1041726 status 403
[21:03:59] ⚠ 4852 status 403
[21:03:59] ⚠ 27725 status 403
[21:03:59] ⚠ 1013210 status 403
[21:03:59] ⚠ 1041732 status 403
[21:03:59] ⚠ 9150 status 403
[21:03:59] ⚠ 1041465 status 403
[21:03:59] ⚠ 7753 status 403
[21:03:59] ⚠ 1055922 status 403
[21:03:59] ⚠ 1074202 status 403
[21:03:59] ⚠ 7814 status 403
[21:03:59] ⚠ 58822 status 403
[21:03:59] ⚠ 4163 status 403
[21:03:59] ⚠ 19110 status 403
[21:03:59] ⚠ 7856 status 403
[21:03:59] ⚠ 28863 status 403
[21:04:00] ⚠ 4904 status 403
[21:04:00] ⚠ 7312 status 403
[21:04:00] ⚠ 1006037 status 403
[21:04:00] ⚠ 9044 status 403
[21:04:00] ⚠ 4340 status 403
[21:04:00] ⚠ 6096 status 403
[21:04:00] ⚠ 1028118 status 403
[21:04:00] ⚠ 1019687 status 403
[21:04:00] ⚠ 27432 status 403
[21:04:00] ⚠ 1050768 status 403
[21:04:00] ⚠ 4255 status 403
[21:04:00] ⚠ 7260 status 403
[21:04:00] ⚠ 4379 status 403
[21:04:00] ⚠ 1020350 status 403
[21:04:00] ⚠ 1398 status 403
[21:04:00] ⚠ 4425 status 403
[21:04:00] ⚠ 9131 status 403
[21:04:00] ⚠ 5080 status 403
[21:04:00] ⚠ 1088778 status 403
[21:04:00] ⚠ 19289 status 403
[21:04:00] ⚠ 1041566 status 403
[21:04:00] ⚠ 5105 status 403
[21:04:00] ⚠ 1041211 status 403
[21:04:00] ⚠ 1026095 status 403
[21:04:00] ⚠ 1042822 status 403
[21:04:00] ⚠ 30441 status 403
[21:04:00] ⚠ 7627 status 403
[21:04:00] ⚠ 1031639 status 403
[21:04:00] ⚠ 6079 status 403
[21:04:00] ⚠ 1041495 status 403
[21:04:00] ⚠ 1014297 status 403
[21:04:00] ⚠ 1054202 status 403
[21:04:00] ⚠ 1033524 status 403
[21:04:00] ⚠ 1039748 status 403
[21:04:00] ⚠ 1009967 status 403
[21:04:00] ⚠ 9176 status 403
[21:04:00] ⚠ 26729 status 403
[21:04:00] ⚠ 1041691 status 403
[21:04:00] ⚠ 29510 status 403
[21:04:00] ⚠ 43960 status 403
[21:04:00] ⚠ 19294 status 403
[21:04:00] ⚠ 1031640 status 403
[21:04:00] ⚠ 10268 status 403
[21:04:00] ⚠ 7308 status 403
[21:04:00] ⚠ 24522 status 403
[21:04:00] ⚠ 1055117 status 403
[21:04:00] ⚠ 54684 status 403
[21:04:00] ⚠ 9780 status 403
[21:04:00] ⚠ 32811 status 403
[21:04:00] ⚠ 9497 status 403
[21:04:00] ⚠ 1013662 status 403
[21:04:00] ⚠ 984 status 403
[21:04:00] ⚠ 33645 status 403
[21:04:00] ⚠ 1066216 status 403
[21:04:00] ⚠ 12947 status 403
[21:04:00] ⚠ 1030384 status 403
[21:04:00] ⚠ 9291 status 403
[21:04:00] ⚠ 1041684 status 403
[21:04:00] ⚠ 1018796 status 403
[21:04:00] ⚠ 1041782 status 403
[21:04:00] ⚠ 22884 status 403
[21:04:00] ⚠ 4881 status 403
[21:04:00] ⚠ 9527 status 403
[21:04:00] ⚠ 476 status 403
[21:04:00] ⚠ 4714 status 403
[21:04:00] ⚠ 1041729 status 403
[21:04:00] ⚠ 482 status 403
[21:04:00] ⚠ 1008441 status 403
[21:04:00] ⚠ 1089364 status 403
[21:04:00] ⚠ 1049288 status 403
[21:04:00] ⚠ 1075662 status 403
[21:04:00] ⚠ 1049289 status 403
[21:04:00] ⚠ 1019544 status 403
[21:04:00] ⚠ 6035 status 403
[21:04:00] ⚠ 14703 status 403
[21:04:00] ⚠ 5103 status 403
[21:04:00] ⚠ 1035939 status 403
[21:04:00] ⚠ 1054735 status 403
[21:04:00] ⚠ 3976 status 403
[21:04:00] ⚠ 52682 status 403
[21:04:00] ⚠ 1004633 status 403
[21:04:00] ⚠ 1027244 status 403
[21:04:00] ⚠ 1054736 status 403
[21:04:00] ⚠ 25008 status 403
[21:04:00] ⚠ 1041567 status 403
[21:04:00] ⚠ 62907 status 403
[21:04:00] ⚠ 1092992 status 403
[21:04:00] ⚠ 5061 status 403
[21:04:00] ⚠ 3906 status 403
[21:04:00] ⚠ 1054730 status 403
[21:04:00] ⚠ 26294 status 403
[21:04:00] ⚠ 27908 status 403
[21:04:00] ⚠ 1024041 status 403
[21:04:00] ⚠ 6121 status 403
[21:04:00] ⚠ 1056839 status 403
[21:04:00] ⚠ 1032344 status 403
[21:04:00] ⚠ 1042215 status 403
[21:04:00] ⚠ 4976 status 403
[21:04:00] ⚠ 1009010 status 403
[21:04:00] ⚠ 38446 status 403
[21:04:00] ⚠ 1059680 status 403
[21:04:00] ⚠ 49852 status 403
[21:04:00] ⚠ 1009117 status 403
[21:04:00] ⚠ 31792 status 403
[21:04:00] ⚠ 1020755 status 403
[21:04:00] ⚠ 1036955 status 403
[21:04:00] ⚠ 1088219 status 403
[21:04:00] ⚠ 4124 status 403
[21:04:00] ⚠ 1068242 status 403
[21:04:00] ⚠ 24880 status 403
[21:04:00] ⚠ 9292 status 403
[21:04:00] ⚠ 1021629 status 403
[21:04:00] ⚠ 1056846 status 403
[21:04:00] ⚠ 39874 status 403
[21:04:00] ⚠ 9041 status 403
[21:04:00] ⚠ 9169 status 403
[21:04:00] ⚠ 15526 status 403
[21:04:00] ⚠ 1025576 status 403
[21:04:00] ⚠ 9504 status 403
[21:04:00] ⚠ 4890 status 403
[21:04:00] ⚠ 4038 status 403
[21:04:00] ⚠ 1039864 status 403
[21:04:00] ⚠ 24246 status 403
[21:04:00] ⚠ 9368 status 403
[21:04:00] ⚠ 9100 status 403
[21:04:00] ⚠ 1053536 status 403
[21:04:00] ⚠ 1036114 status 403
[21:04:00] ⚠ 1004635 status 403
[21:04:00] ⚠ 7504 status 403
[21:04:00] ⚠ 31788 status 403
[21:04:00] ⚠ 1054742 status 403
[21:04:00] ⚠ 10255 status 403
[21:04:00] ⚠ 10270 status 403
[21:04:00] ⚠ 56144 status 403
[21:04:00] ⚠ 1012136 status 403
[21:04:00] ⚠ 1013355 status 403
[21:04:00] ⚠ 24981 status 403
[21:04:00] ⚠ 1082851 status 403
[21:04:00] ⚠ 1028879 status 403
[21:04:00] ⚠ 1003803 status 403
[21:04:00] ⚠ 1011192 status 403
[21:04:00] ⚠ 1053155 status 403
[21:04:00] ⚠ 4174 status 403
[21:04:00] ⚠ 7511 status 403
[21:04:00] ⚠ 1004634 status 403
[21:04:00] ✅ Fetched 115 venues with shows
[21:04:00] ✅ DONE | Shows=619 | Movies=27
